ID,ShortName,Long Name,Reference,XLMOD name,Synonyms,Type,ReactionSites,Monouisotopic Mass,Average Mass,Formula,Specificities
XL:01011,BS2G Amidated,bis(sulfosuccinimidyl) glutarate Amidated,https://www.thermofisher.com/order/catalog/product/21610,Xlink:BS2G!Amidated,BS2G Amidated,monolink,1,113.047678505,113.11052,C8 H7 O2 N1,"(K,S,T,Y,n-term)"
XL:01012,DSG Hydrolyzed,disuccinimidyl glutarate Hydrolyzed,https://www.thermofisher.com/order/catalog/product/20593,Xlink:DSG!Hydrolyzed,DSG Hydrolyzed,monolink,1,114.0316941,114.09528,C8 H6 O3,"(K,S,T,Y,n-term)"
XL:01013,DSG Amidated,disuccinimidyl glutarate Amidated,https://www.thermofisher.com/order/catalog/product/20593,Xlink:DSG!Amidated,DSG Amidated,monolink,1,113.047678505,113.11052,C8 H7 O2 N1,"(K,S,T,Y,n-term)"
XL:01014,DSG-d4 Hydrolyzed,"disuccinimidyl 2,2,4,4-glutarate-d4 Hydrolyzed",http://www.proteochem.com/deuteratedcrosslinkerdsgd410mg-p-49.html,Xlink:DSG:d4!Hydrolyzed,DSG-d4 Hydrolyzed,monolink,1,164.128858262,164.22528,C8 H2 2H4 O3,"(K,S,T,Y,n-term)"
XL:01015,DSG-d4 Amidated,"disuccinimidyl 2,2,4,4-glutarate-d4 Amidated",http://www.proteochem.com/deuteratedcrosslinkerdsgd410mg-p-49.html,Xlink:DSG:d4!Amidated,DSG-d4 Amidated,monolink,1,163.144842667,163.24052,C8 H3 2H4 O2 N1,"(K,S,T,Y,n-term)"
XL:01016,BS2G-d4 Hydrolyzed,"bis(sulfosuccinimidyl) 2,2,4,4-glutarate-d4 Hydrolyzed",https://www.thermofisher.com/order/catalog/product/21615,Xlink:BS2G:d4!Hydrolyzed,BS2G-d4 Hydrolyzed,monolink,1,118.056801076,118.12528,C8 H2 2H4 O3,"(K,S,T,Y,n-term)"
XL:01017,BS2G-d4 Amidated,"bis(sulfosuccinimidyl) 2,2,4,4-glutarate-d4 Amidated",https://www.thermofisher.com/order/catalog/product/21615,Xlink:BS2G:d4!Amidated,BS2G-d4 Amidated,monolink,1,117.072785481,117.14052,C8 H3 2H4 O2 N1,"(K,S,T,Y,n-term)"
XL:01018,BS(PEG)5 Hydrolyzed,PEGylated bis(sulfosuccinimidyl)suberate Hydrolyzed,https://www.thermofisher.com/order/catalog/product/21581?,Xlink:BS(PEG)5!Hydrolyzed,BS(PEG)5 Hydrolyzed;NHS-PEG-NHS Hydrolyzed;BS(PEO)5 Hydrolyzed;Bis(NHS)PEO5 Hydrolyzed,monolink,1,320.1471147,320.33528,C14 H24 O8,"(K,S,T,Y,n-term)"
XL:01019,BS(PEG)5 Amidated,PEGylated bis(sulfosuccinimidyl)suberate Amidated,https://www.thermofisher.com/order/catalog/product/21581?,Xlink:BS(PEG)5!Amidated,BS(PEG)5 Amidated;NHS-PEG-NHS Amidated;BS(PEO)5 Amidated;Bis(NHS)PEO5 Amidated,monolink,1,319.163099105,319.35052,C14 H25 O7 N1,"(K,S,T,Y,n-term)"
XL:01020,EGS Hydrolyzed,ethylene glycol bis(succinimidyl succinate) Hydrolyzed,https://www.thermofisher.com/order/catalog/product/21565,Xlink:EGS!Hydrolyzed,EGS Hydrolyzed,monolink,1,244.0583027,244.19528,C10 H12 O7,"(K,S,T,Y,n-term)"
